,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
159,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,262.5,43010,Multisector aid,Multi-sector,2016
160,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-09-15,2017-09-30,38600.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
161,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2015-09-30,174230.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
162,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-05-13,2017-09-30,191014.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
163,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2015-10-01,2016-09-30,299.0,43010,Multisector aid,Education and Social Services,2015
164,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,752982.0,2016-10-01,2018-09-30,258568.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
165,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,4977661.0,2015-10-01,2018-09-30,804322.689999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
166,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,346068.0,2016-10-01,2018-09-30,320.329999999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
167,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,80000000.0,72040,Emergency food aid,Humanitarian Assistance,2012
168,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-09-30,2017-09-30,3261362.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
169,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-20,2015-09-30,374036.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
170,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,18600000.0,72040,Emergency food aid,Humanitarian Assistance,2012
171,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2017-10-01,2018-09-30,1927.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
172,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1994518.0,2016-10-01,2018-09-30,1994518.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
173,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,738444.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2012
174,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,9774868.0,2015-10-01,2018-09-30,596124.0,72040,Emergency food aid,Humanitarian Assistance,2015
175,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,363.779999999999,91010,Administrative costs,Program Management,2017
176,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1994518.0,2016-10-01,2018-09-30,734615.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
177,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3616913.0,2014-10-01,2018-09-30,304562.12,72040,Emergency food aid,Humanitarian Assistance,2014
178,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3694178.0,2015-10-01,2018-09-30,633249.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
179,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2017-10-01,2018-09-30,307997.01,91010,Administrative costs,Program Management,2017
180,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2000000.0,2017-10-01,2018-09-30,1122467.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
181,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2014-10-01,2017-09-30,6589.55,72010,Material relief assistance and services,Humanitarian Assistance,2014
182,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,5600000.0,2016-10-01,2018-09-30,845957.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
183,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-09-11,2016-09-30,64696.11,72010,Material relief assistance and services,Humanitarian Assistance,2013
184,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2016-09-30,24414.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
185,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2016-10-01,2018-09-30,318.24,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
186,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2017-09-30,6.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
187,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,297.5,43010,Multisector aid,Multi-sector,2016
188,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-09-15,2017-09-30,418283.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
189,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2017-10-01,2018-09-30,1685.65,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
190,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,18000000.0,72040,Emergency food aid,Humanitarian Assistance,2012
191,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,48000.0,43010,Multisector aid,Multi-sector,2016
192,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,905.08,43010,Multisector aid,Program Management,2013
193,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,15.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
194,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,33900825.6,72040,Emergency food aid,Humanitarian Assistance,2012
